,갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
10,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"1,000",중구,6,60,17,23.03,,,36-2,11140,5
11,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"1,000",중구,6,60,19,23.03,,,36-2,11140,5
12,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"16,000",중구,6,0,19,23.03,,,36-2,11140,17
13,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"15,000",중구,6,0,20,23.03,,,36-2,11140,6
14,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"16,000",중구,6,0,20,23.03,,,36-2,11140,12
15,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"3,000",중구,6,50,21,23.03,,,36-2,11140,4
16,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"16,500",중구,6,0,23,23.03,,,36-2,11140,18
17,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"16,000",중구,6,0,24,23.03,,,36-2,11140,12
18,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"6,000",중구,6,45,25,23.03,,,36-2,11140,14
19,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"1,000",중구,6,60,27,23.03,,,36-2,11140,10
20,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"16,500",중구,6,0,29,23.03,,,36-2,11140,18
21,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"16,500",중구,6,0,30,23.03,,,36-2,11140,17
22,,2016,,,2016,충무로엘크루메트로시티2,충무로5가,"17,000",중구,6,0,30,23.03,,,36-2,11140,6
